ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"016 Ballymagauran, Co. Cavan",20471.00,35191.00,18.10,7.20,13.10,4.60,15.90,21.20,20.00,9.80
"017 Bawnboy, Co. Cavan",26304.00,32000.00,13.20,10.00,10.40,4.40,13.20,30.20,18.60,12.60
"019 Bilberry, Co. Cavan",NA,NA,10.90,6.40,13.00,NA,21.10,29.20,19.40,13.00
"020 Carn, Co. Cavan",NA,NA,11.20,9.00,15.00,11.00,16.40,20.20,17.20,6.80
"021 Diamond, Co. Cavan",NA,NA,23.20,2.00,10.70,4.10,23.90,20.90,15.20,14.00
"022 Doogary, Co. Cavan",NA,NA,11.60,8.70,10.70,7.80,22.10,20.10,19.00,14.60
"023 Kinawley, Co. Cavan",NA,NA,13.00,18.70,12.10,2.80,12.40,25.70,15.30,6.30
"024 Lissanover, Co. Cavan",22453.00,47599.00,14.10,6.30,11.70,5.10,20.70,29.50,12.60,10.40
999 Pedara Vohers / Tircahan,NA,NA,10.90,11.90,11.20,11.80,17.70,20.70,15.80,22.80
"026 Swanlinbar, Co. Cavan",21237.00,41204.00,18.20,7.70,13.30,9.00,14.70,18.90,18.40,16.20
999 Templeport / Benbrack,24081.00,35350.00,10.40,13.10,10.80,0.60,18.70,26.50,20.00,12.40
"029 Ballyjamesduff, Co. Cavan",22345.00,32727.00,6.10,6.70,9.80,6.40,29.90,20.80,20.40,19.40
"030 Castlerahan, Co. Cavan",26881.00,35871.00,7.50,9.00,12.30,8.00,25.80,22.40,15.00,10.90
"031 Kilbride, Co. Cavan",24276.00,36014.00,13.50,7.20,7.60,6.40,20.40,27.90,17.00,14.60
"032 Lurgan, Co. Cavan",29371.00,44150.00,6.90,8.90,10.10,5.80,16.40,35.90,16.00,13.00
"033 Munterconnaught, Co. Cavan",26939.00,39717.00,6.70,8.60,10.90,8.40,20.10,29.90,15.40,11.90
"034 Virginia, Co. Cavan",25460.00,38396.00,4.20,8.80,9.50,9.90,16.10,30.30,21.20,15.80
"035 Ardue, Co. Cavan",29822.00,36027.00,6.30,10.20,5.40,8.00,10.10,32.80,27.20,12.40
"036 Arvagh, Co. Cavan",26844.00,35162.00,8.80,6.90,10.00,6.40,15.20,26.10,26.60,11.30
"037 Ashfield, Co. Cavan",29711.00,45112.00,7.40,8.90,11.70,7.40,17.20,28.70,18.60,10.10
"038 Ballintemple, Co. Cavan",25766.00,39691.00,9.80,5.00,9.60,8.90,15.00,30.00,21.70,8.80
"039 Ballyhaise, Co. Cavan",30604.00,42523.00,3.70,5.00,11.30,5.40,14.10,41.60,18.80,10.90
"040 Ballymachugh, Co. Cavan",27094.00,41838.00,16.30,5.30,7.00,8.10,8.90,39.60,14.70,10.00
"041 Bellananagh, Co. Cavan",23348.00,27882.00,5.40,10.30,10.80,4.80,12.40,31.70,24.50,21.50
"042 Belturbet Urban, Co. Cavan",22757.00,35632.00,4.00,10.00,11.60,9.10,14.00,29.00,22.30,32.80
"043 Bruce Hall, Co. Cavan",34407.00,37023.00,10.70,5.20,7.00,7.00,26.10,32.80,11.20,8.60
"044 Butler's Bridge, Co. Cavan",35304.00,36560.00,4.00,7.30,15.80,8.10,8.00,39.90,16.80,7.70
"045 Canningstown, Co. Cavan",26215.00,35603.00,11.90,13.70,7.90,7.40,22.00,21.80,15.30,10.10
"046 Carrafin, Co. Cavan",33710.00,34964.00,6.50,5.80,10.70,10.10,9.90,40.10,16.80,10.10
"047 Castlesaunderson, Co. Cavan",25608.00,39847.00,14.50,8.50,12.90,6.00,11.30,32.70,14.20,10.30
"048 Cavan Rural, Co. Cavan",27508.00,36940.00,1.70,5.20,11.20,5.70,15.90,42.60,17.60,13.90
"049 Clonervy, Co. Cavan",29928.00,42691.00,6.40,7.30,12.70,7.90,16.60,29.80,19.20,6.90
"050 Cootehill Rural, Co. Cavan",29792.00,38442.00,11.60,8.20,9.10,3.60,16.30,31.80,19.40,12.70
"051 Cootehill Urban, Co. Cavan",23526.00,31891.00,3.30,6.60,9.80,4.90,19.70,37.70,18.10,22.60
"052 Corr, Co. Cavan",31875.00,35202.00,10.90,4.60,6.70,8.60,19.50,32.60,17.00,5.40
"053 Corraneary, Co. Cavan",26769.00,41516.00,14.10,10.10,9.00,5.70,19.40,28.50,13.30,8.80
"054 Crossdoney, Co. Cavan",28392.00,42988.00,8.80,8.50,7.50,7.30,17.70,36.90,13.30,5.60
"055 Crosskeys, Co. Cavan",26558.00,39135.00,7.40,9.70,9.10,6.30,13.90,31.90,21.70,9.70
"056 Cuttragh, Co. Cavan",29061.00,35672.00,8.80,12.70,12.10,10.40,19.00,23.20,13.70,10.60
"057 Denn, Co. Cavan",26510.00,34775.00,10.60,12.10,13.80,7.10,9.50,29.90,17.00,13.70
"058 Derrin, Co. Cavan",31277.00,38156.00,13.20,8.80,16.30,9.20,8.90,32.50,11.20,12.70
"059 Drumcarban, Co. Cavan",31024.00,40273.00,9.90,10.00,8.80,3.60,17.00,35.10,15.60,10.60
"060 Drumcarn, Co. Cavan",29665.00,29727.00,9.90,10.20,14.30,5.10,13.50,31.50,15.50,12.60
"061 Drung, Co. Cavan",26571.00,28130.00,12.50,10.00,11.50,5.50,16.10,28.60,15.80,9.70
"062 Graddum, Co. Cavan",24368.00,39439.00,11.20,10.20,10.20,13.50,14.10,21.50,19.30,15.00
"063 Grilly, Co. Cavan",29421.00,30893.00,8.50,11.60,8.30,7.20,11.70,35.40,17.30,11.30
"064 Kilconny, Co. Cavan",29623.00,42234.00,6.80,6.50,11.40,9.20,16.60,30.80,18.70,14.80
"065 Kill, Co. Cavan",25243.00,35869.00,12.00,10.60,10.40,6.00,15.40,29.60,16.10,10.70
"066 Killashandra, Co. Cavan",25755.00,28732.00,8.10,6.00,8.20,7.30,22.90,24.90,22.60,14.30
"067 Killykeen, Co. Cavan",33375.00,44949.00,14.00,7.10,9.30,5.30,14.30,34.80,15.10,11.40
"068 Kilnaleck, Co. Cavan",22850.00,38633.00,12.50,7.00,12.20,7.30,17.30,24.80,18.80,14.20
"069 Knappagh, Co. Cavan",28903.00,44943.00,12.30,7.90,7.50,7.50,24.70,27.70,12.60,9.10
"070 Larah North, Co. Cavan",29307.00,41622.00,16.80,7.70,8.60,9.20,12.80,28.80,15.90,4.70
"071 Larah South, Co. Cavan",25212.00,32453.00,10.10,12.50,12.60,8.70,17.90,22.70,15.50,8.20
"072 Milltown, Co. Cavan",22827.00,39723.00,14.10,10.40,9.70,2.70,20.90,26.40,15.80,16.70
"073 Moynehall, Co. Cavan",31062.00,37037.00,5.90,8.10,11.90,6.80,13.90,36.30,17.00,9.70
"074 Rakenny, Co. Cavan",24906.00,41002.00,14.90,8.70,10.20,8.30,19.10,24.80,14.10,11.00
"075 Redhill, Co. Cavan",26026.00,32292.00,7.80,12.80,9.90,10.70,13.00,26.20,19.60,15.20
"076 Springfield, Co. Cavan",NA,NA,22.50,7.80,12.20,8.20,20.20,12.70,16.50,5.10
"077 Stradone, Co. Cavan",29726.00,36334.00,9.30,8.90,11.10,6.20,15.00,32.40,17.10,7.70
"078 Tullyvin East, Co. Cavan",27774.00,45532.00,9.90,7.80,9.70,10.40,11.60,36.30,14.40,6.10
"079 Tullyvin West, Co. Cavan",29544.00,32368.00,15.00,7.40,11.90,7.40,14.10,25.70,18.50,3.30
"080 Waterloo, Co. Cavan",27557.00,41034.00,9.30,10.00,9.90,8.20,20.00,28.00,14.70,8.70
"081 Derrylahan, Co. Cavan",NA,NA,16.70,15.80,4.10,13.80,15.60,18.50,15.50,24.20
"083 Dowra, Co. Cavan",NA,NA,14.30,9.80,15.80,5.90,10.30,29.50,14.50,15.30
999 Dunmakeever / Derrynananta,NA,NA,17.10,12.40,12.40,0.40,17.60,22.10,18.00,19.10
"085 Eskey, Co. Cavan",NA,NA,11.10,11.70,15.70,14.40,8.80,24.80,13.40,17.20
999 Killinagh / Teebane,NA,NA,14.10,3.90,3.60,13.90,5.60,36.70,22.20,13.60
"088 Tuam, Co. Cavan",20571.00,36189.00,15.30,9.70,7.70,4.60,7.90,42.60,12.20,21.80
"089 Drumlumman, Co. Cavan",30270.00,36342.00,11.10,9.90,14.00,6.20,14.60,28.80,15.40,9.30
"090 Kilcogy, Co. Cavan",31371.00,30887.00,12.40,6.60,12.60,7.90,13.80,30.40,16.20,12.10
"091 Kilgolagh, Co. Cavan",24098.00,22202.00,10.60,10.30,13.70,1.70,21.90,17.00,24.80,18.90
"092 Loughdawan, Co. Cavan",27207.00,33809.00,8.30,4.10,11.60,6.50,15.90,29.80,23.80,8.90
"093 Scrabby, Co. Cavan",26223.00,38679.00,7.70,7.80,7.00,7.50,16.50,33.40,20.10,9.40
"001 Buncrana Urban, Co. Donegal",21224.00,27074.00,1.20,4.80,11.60,12.00,14.50,31.60,24.30,28.30
"002 Bundoran Urban, Co. Donegal",17706.00,29712.00,1.80,4.70,10.00,12.70,6.40,36.60,27.80,27.20
"003 Letterkenny Urban, Co. Donegal",20653.00,23497.00,0.90,2.90,10.30,15.10,5.70,39.00,26.10,31.40
"004 Ballintra, Co. Donegal",23827.00,35184.00,7.30,7.00,14.20,8.20,8.30,30.30,24.60,19.60
"005 Ballyshannon Rural, Co. Donegal",26127.00,44313.00,4.20,5.50,8.30,9.10,7.20,46.30,19.40,16.90
"006 Ballyshannon Urban, Co. Donegal",18556.00,37405.00,2.00,5.90,10.90,8.50,7.40,43.40,21.90,22.00
"007 Bundoran Rural, Co. Donegal",23920.00,36863.00,4.70,5.40,8.20,13.00,6.40,39.50,22.70,16.80
"008 Carrickboy, Co. Donegal",21553.00,31487.00,12.50,7.00,8.70,9.70,12.40,27.80,21.90,16.20
"009 Cavangarden, Co. Donegal",21387.00,39046.00,12.10,9.50,11.40,6.10,11.80,24.00,25.10,16.80
"010 Cliff, Co. Donegal",22499.00,42744.00,7.90,10.60,13.10,8.20,10.80,30.70,18.70,10.80
"011 Ballintra, Co. Donegal",21590.00,36816.00,6.20,8.30,12.00,5.30,10.10,28.00,30.10,18.80
"012 An Bhinn Bhán, Co. Donegal",14605.00,43015.00,11.40,5.90,12.30,12.50,12.40,22.80,22.70,15.90
"013 Bonnyglen, Co. Donegal",23534.00,41450.00,6.70,11.80,12.30,10.80,15.10,27.50,15.80,14.70
"014 Clogher, Co. Donegal",26160.00,41444.00,4.30,6.00,12.20,7.50,4.70,41.10,24.20,11.50
"015 Corkermore, Co. Donegal",NA,NA,11.50,5.00,8.60,3.70,31.90,20.90,18.40,21.00
"016 Donegal, Co. Donegal",23272.00,43560.00,2.90,4.00,14.40,7.40,8.60,34.30,28.40,15.70
"017 Dunkineely, Co. Donegal",22768.00,29581.00,9.10,8.10,7.90,6.80,19.80,21.40,27.00,14.20
"018 Eanymore, Co. Donegal",21838.00,49239.00,6.70,6.90,9.10,5.80,12.00,35.20,24.30,18.40
"019 Grousehall, Co. Donegal",NA,NA,25.70,1.20,25.90,0.40,2.60,24.10,20.00,37.50
"020 Haugh, Co. Donegal",24768.00,35082.00,7.90,2.80,16.90,3.80,8.90,37.70,22.00,11.40
"021 Inver, Co. Donegal",24581.00,35270.00,6.20,6.30,9.30,9.50,19.80,27.30,21.60,10.00
"022 Laghy, Co. Donegal",21238.00,34009.00,6.30,10.40,14.50,9.40,8.30,20.70,30.40,16.10
"023 Loch Iascaigh, Co. Donegal",NA,NA,15.90,12.40,17.70,0.60,8.00,24.20,21.20,9.60
"024 Pettigoe, Co. Donegal",NA,NA,16.20,11.80,21.20,2.40,13.30,19.30,15.70,15.30
"025 Tantallon, Co. Donegal",25675.00,40990.00,6.20,6.50,12.40,6.20,14.30,34.10,20.30,11.10
"026 Tawnawully, Co. Donegal",29538.00,39131.00,8.30,5.10,12.70,14.40,10.50,26.30,22.70,16.40
"027 Templecarn, Co. Donegal",NA,NA,13.40,16.80,18.00,1.70,16.60,20.80,12.70,13.60
"028 Tullynaught, Co. Donegal",24470.00,42329.00,5.60,7.00,10.10,9.50,7.40,39.40,21.00,14.30
"029 Ards, Co. Donegal",19494.00,32953.00,6.20,5.60,11.70,9.70,5.30,45.70,15.80,12.40
"030 Críoch na Sméar, Co. Donegal",NA,NA,8.20,10.70,9.20,7.80,7.00,47.40,9.60,13.30
"031 An Craoslach, Co. Donegal",22268.00,27847.00,4.30,7.20,8.00,13.10,6.80,41.00,19.50,23.90
"032 Na Croisbhealaí, Co. Donegal",18969.00,30406.00,3.80,5.50,9.20,10.10,10.00,44.30,17.10,27.40
"033 Caisleán na dTuath, Co. Donegal",NA,NA,4.30,10.20,11.20,9.90,11.40,34.20,18.80,21.00
"034 Dún Fionnachaidh, Co. Donegal",16580.00,27700.00,5.60,7.00,7.20,10.10,5.90,39.00,25.10,18.60
"035 Dún Lúiche, Co. Donegal",16773.00,38574.00,5.20,8.10,7.90,8.90,18.90,33.10,18.00,27.90
"036 Gort an Choirce, Co. Donegal",18990.00,31831.00,6.60,8.90,8.90,7.50,11.00,41.50,15.60,28.80
"037 Machaire Chlochair, Co. Donegal",23645.00,32175.00,1.50,2.90,7.70,9.30,19.50,42.20,16.90,20.00
"038 Mín an Chladaigh, Co. Donegal",21897.00,34859.00,2.40,6.30,9.10,8.00,13.20,41.20,19.70,31.00
"039 Anagaire, Co. Donegal",23101.00,32838.00,4.00,5.10,9.50,9.60,14.30,34.60,22.90,18.30
"040 Árainn Mhór, Co. Donegal",NA,NA,10.00,6.90,12.00,8.60,10.60,34.70,17.10,22.90
"041 Ard an Rátha, Co. Donegal",18591.00,30367.00,5.60,6.70,7.10,7.00,22.50,31.40,19.60,21.20
"042 Cró Bheithe, Co. Donegal",NA,NA,14.30,14.10,13.70,4.90,15.80,28.70,8.50,28.10
"043 Cró Chaorach, Co. Donegal",NA,NA,17.10,0.90,14.80,1.60,34.30,20.40,11.00,26.10
"044 Crownarad, Co. Donegal",NA,NA,31.30,1.40,10.80,3.10,23.30,16.60,13.60,9.30
"045 Dawros, Co. Donegal",16843.00,32648.00,5.30,14.20,11.70,5.50,14.20,33.30,15.80,13.30
"046 An Dúchoraidh, Co. Donegal",NA,NA,2.80,15.70,5.40,27.20,3.10,21.50,24.10,39.40
"047 An Clochán Liath, Co. Donegal",21876.00,34676.00,3.00,5.70,12.30,7.10,9.30,39.40,23.10,23.30
"048 Baile na Finne, Co. Donegal",18752.00,27805.00,8.00,8.40,9.50,3.40,13.40,39.70,17.70,11.70
"049 Gleann Cholm Cille, Co. Donegal",20035.00,26476.00,8.50,5.20,8.80,7.10,27.50,23.90,19.00,14.60
"050 Gleann Gheis, Co. Donegal",20317.00,35444.00,10.40,9.10,8.30,5.90,21.70,28.60,16.00,13.60
"051 Gleann Léithín, Co. Donegal",NA,NA,11.50,12.50,12.80,3.10,12.50,33.00,14.60,11.80
"052 Na Gleannta, Co. Donegal",20370.00,34058.00,3.30,6.00,7.90,9.20,11.70,45.10,16.90,14.40
"053 An Ghrafaidh, Co. Donegal",NA,NA,17.60,11.70,2.00,14.20,15.10,25.00,14.50,16.40
"054 Inis Caoil, Co. Donegal",NA,NA,18.40,0.20,0.70,12.90,24.50,27.60,15.60,18.90
"055 Cill Charthaigh, Co. Donegal",22232.00,32971.00,6.90,3.70,4.40,4.30,31.20,28.50,21.10,12.50
"056 Cill Ghabhlaigh, Co. Donegal",23068.00,27227.00,18.80,5.80,10.50,5.00,23.50,25.60,10.80,10.50
"057 Killybegs, Co. Donegal",23737.00,36308.00,17.70,5.00,11.20,7.10,21.90,20.30,16.70,11.40
"058 An Leargaidh Mhór, Co. Donegal",23187.00,44236.00,7.10,5.70,10.60,6.50,32.00,23.90,14.10,11.80
"059 Leitir Mhic an Bhaird, Co. Donegal",19415.00,24107.00,7.20,6.80,10.10,8.10,9.70,35.90,22.20,19.50
"060 Maas, Co. Donegal",19837.00,35574.00,9.50,12.00,12.80,9.10,10.30,31.90,14.40,5.90
"061 An Machaire, Co. Donegal",20367.00,37630.00,12.00,7.80,13.70,6.80,7.70,32.40,19.70,16.10
"062 Málainn Bhig, Co. Donegal",18800.00,31507.00,9.80,10.60,9.40,6.90,17.60,31.20,14.60,12.70
"063 Maol Mosóg, Co. Donegal",NA,NA,9.40,9.00,9.80,13.70,22.30,21.10,14.60,8.80
"064 Inis Mhic an Doirn, Co. Donegal",23421.00,35794.00,9.70,5.80,10.50,5.80,9.30,38.40,20.60,22.20
"065 Tieveskeelta, Co. Donegal",NA,NA,21.20,3.30,5.20,1.70,27.70,24.80,16.20,18.20
"066 Ardmalin, Co. Donegal",19032.00,34302.00,13.00,8.00,9.20,6.50,8.80,40.90,13.70,22.00
"067 Ballyliffin, Co. Donegal",18170.00,38676.00,4.50,12.40,9.10,9.00,6.30,37.80,20.90,21.40
"068 Birdstown, Co. Donegal",20285.00,28666.00,11.30,9.10,6.20,13.90,13.80,25.20,20.60,21.10
"069 Buncrana Rural, Co. Donegal",21454.00,29392.00,1.50,6.80,10.30,10.50,15.10,36.60,19.30,22.00
"070 Burt, Co. Donegal",22842.00,38164.00,10.40,4.00,7.80,6.90,12.10,31.50,27.20,22.10
"071 Carndonagh, Co. Donegal",20751.00,28389.00,4.30,9.00,8.20,7.90,6.70,43.20,20.80,24.10
"072 Carthage, Co. Donegal",17873.00,24436.00,11.30,10.50,11.30,4.40,11.40,33.30,17.80,28.10
"073 Castlecary, Co. Donegal",19931.00,35581.00,13.00,9.40,7.30,6.00,6.60,33.20,24.40,15.30
"074 Castleforward, Co. Donegal",25234.00,18580.00,7.80,4.40,9.70,11.30,12.10,28.30,26.30,25.20
"075 Culdaff, Co. Donegal",17983.00,26265.00,11.20,13.10,10.90,7.70,5.80,33.40,17.80,21.30
"076 Desertegny, Co. Donegal",25067.00,31687.00,7.20,13.40,5.80,11.70,11.20,33.60,17.00,18.70
"077 Dunaff, Co. Donegal",14706.00,36189.00,17.70,10.90,9.00,6.70,7.70,26.80,21.20,20.10
"078 Fahan, Co. Donegal",22892.00,27773.00,5.80,7.50,9.10,15.70,8.30,38.90,14.80,18.70
"079 Glennagannon, Co. Donegal",NA,NA,9.30,17.40,7.20,9.10,7.20,35.30,14.60,18.80
"080 Gleneely, Co. Donegal",14717.00,28632.00,12.20,13.10,9.10,8.80,6.50,31.40,18.90,29.50
"081 Glentogher, Co. Donegal",NA,NA,5.40,13.20,10.10,6.40,7.20,40.70,16.90,33.90
"082 Greencastle, Co. Donegal",16907.00,28771.00,26.30,6.60,7.80,7.00,6.60,29.00,16.60,13.60
"083 Illies, Co. Donegal",18431.00,24941.00,6.00,13.00,12.60,6.90,17.80,23.10,20.70,16.00
"084 Inch Island, Co. Donegal",NA,NA,13.00,9.50,10.60,11.50,10.00,21.40,24.10,24.30
"085 Kilderry, Co. Donegal",19411.00,34553.00,10.80,10.60,9.20,9.70,9.80,28.50,21.30,22.50
"086 Killea, Co. Donegal",20519.00,29195.00,17.70,6.90,8.00,8.80,14.10,23.00,21.60,27.90
"087 Malin, Co. Donegal",19344.00,25327.00,11.30,9.90,10.90,9.10,6.90,33.60,18.40,21.30
"088 Mintiaghs, Co. Donegal",19700.00,37224.00,6.10,14.50,10.20,8.50,11.10,31.50,18.20,18.70
"089 Moville, Co. Donegal",18113.00,30416.00,12.00,7.10,9.40,7.30,10.80,30.50,22.90,23.20
"090 Newtown Cunningham, Co. Donegal",24225.00,25531.00,9.60,5.70,9.00,10.40,7.90,25.50,31.80,25.40
"091 Redcastle, Co. Donegal",17996.00,39371.00,9.20,14.20,7.20,10.60,12.70,24.80,21.20,24.50
"092 Straid, Co. Donegal",16692.00,18313.00,5.50,15.90,9.60,7.50,10.70,25.00,25.70,24.50
"093 Three Trees, Co. Donegal",17542.00,20494.00,11.60,12.50,11.50,4.40,11.30,29.30,19.50,17.80
"094 Turmone, Co. Donegal",NA,NA,13.90,11.70,10.30,1.00,14.90,29.40,18.90,20.20
"095 Whitecastle, Co. Donegal",17816.00,33180.00,11.70,13.70,12.00,9.20,7.60,25.30,20.50,19.30
"096 Ballymacool (Part Rural), Co. Donegal",26399.00,39007.00,1.90,3.30,10.70,10.80,5.40,46.40,21.50,18.80
"097 Castlewray (Part Rural), Co. Donegal",34435.00,45392.00,1.50,2.20,10.80,11.90,3.90,57.00,12.70,8.50
"098 Mín an Lábáin, Co. Donegal",28447.00,44184.00,7.70,5.30,11.70,5.50,10.30,41.30,18.30,11.20
"099 Corravaddy (Part Rural), Co. Donegal",30576.00,49426.00,2.10,4.50,12.30,12.00,6.10,47.20,15.90,12.50
"100 Edenacarnan (Part Rural), Co. Donegal",28332.00,45516.00,3.50,3.80,11.40,14.30,8.80,40.90,17.20,16.10
"101 Gartán, Co. Donegal",NA,NA,10.20,9.30,8.50,6.50,8.30,38.50,18.60,11.70
"102 Gortnavern, Co. Donegal",31856.00,47664.00,2.90,3.60,12.40,10.50,6.00,49.10,15.50,9.80
"103 Killymasny, Co. Donegal",31607.00,38107.00,5.30,6.20,13.30,11.20,8.00,41.00,14.90,11.50
"104 Kincraigy, Co. Donegal",24220.00,29823.00,10.50,5.40,5.90,8.50,9.70,37.40,22.50,21.90
"105 Letterkenny Rural (Part Rural), Co. Donegal",28345.00,34260.00,0.80,2.00,10.30,19.00,6.60,45.30,16.00,21.20
"106 Magheraboy (Part Rural), Co. Donegal",29131.00,53523.00,3.40,3.30,8.70,7.70,9.70,50.40,16.90,11.10
"107 Manorcunningham, Co. Donegal",24910.00,41951.00,5.60,4.80,10.80,11.00,8.30,39.40,20.20,20.50
"108 Suí Corr, Co. Donegal",NA,NA,11.80,6.00,9.50,NA,13.50,34.00,25.20,9.70
"109 Templedouglas, Co. Donegal",28272.00,43803.00,5.80,10.20,8.80,9.30,7.80,41.40,16.70,10.40
"110 Ballyarr, Co. Donegal",30029.00,38895.00,7.10,4.10,10.70,7.80,8.10,41.90,20.30,17.60
"111 Carraig Airt, Co. Donegal",16305.00,30247.00,4.70,6.70,8.30,10.80,5.10,37.10,27.40,29.60
"112 An Cheathrú Chaol, Co. Donegal",27089.00,36601.00,6.40,8.10,7.00,6.10,16.50,44.60,11.30,19.60
"113 Creamhghort, Co. Donegal",22612.00,34557.00,5.90,8.70,10.70,11.20,6.70,36.90,19.90,22.10
"114 Fánaid Thuaidh, Co. Donegal",24387.00,30535.00,7.10,6.70,10.00,2.70,22.40,36.70,14.40,11.90
"115 Fánaid Thiar, Co. Donegal",18640.00,25561.00,14.30,6.60,9.20,4.90,23.90,28.60,12.60,11.30
"116 Glen, Co. Donegal",NA,NA,8.00,11.40,13.50,5.10,7.10,38.70,16.20,20.80
"117 Glenalla, Co. Donegal",26459.00,40670.00,6.40,6.60,8.00,8.50,11.30,46.80,12.40,15.90
"118 Grianfort, Co. Donegal",16873.00,31672.00,10.20,8.70,13.40,3.30,13.60,34.60,16.20,16.20
"119 Killygarvan, Co. Donegal",NA,NA,10.30,12.50,12.50,5.80,5.70,37.10,15.90,18.90
"120 Kilmacrenan, Co. Donegal",24411.00,36067.00,3.10,4.50,10.00,10.80,8.10,43.60,19.90,28.20
"121 Cnoc Colbha, Co. Donegal",16024.00,44704.00,10.60,12.00,9.50,4.30,10.20,39.10,14.40,17.00
"122 Loch Caol, Co. Donegal",NA,NA,8.50,10.50,15.90,9.20,6.50,33.50,16.00,12.20
"123 Millford, Co. Donegal",23337.00,42619.00,3.30,6.60,9.10,9.30,10.70,38.90,22.10,21.80
"124 Rathmelton, Co. Donegal",27745.00,37562.00,4.60,3.60,9.80,10.90,5.10,50.30,15.70,19.30
"125 Rathmullan, Co. Donegal",24106.00,33408.00,5.40,9.10,11.00,8.70,12.70,36.10,17.10,15.40
"126 Ros Goill, Co. Donegal",17224.00,31628.00,7.70,7.40,9.20,8.60,2.60,37.00,27.40,16.90
"127 Rosnakill, Co. Donegal",28725.00,34420.00,10.80,8.50,10.90,7.80,12.70,38.60,10.80,11.20
"128 An Tearmann, Co. Donegal",28930.00,37245.00,4.90,6.10,6.80,12.10,7.70,47.20,15.20,8.00
"129 Allt na Péiste, Co. Donegal",21910.00,26386.00,12.70,8.20,8.50,7.10,10.50,33.20,19.70,9.50
"130 Castlefinn, Co. Donegal",18958.00,23204.00,11.40,6.80,9.20,6.90,11.40,30.80,23.50,27.80
"131 An Clochán, Co. Donegal",26442.00,37699.00,12.30,7.40,9.10,6.10,8.90,41.80,14.40,13.70
"132 Cloghard, Co. Donegal",29455.00,28504.00,16.80,10.40,9.00,6.80,11.50,33.20,12.20,19.20
"133 Clonleigh North, Co. Donegal",24206.00,38999.00,9.80,9.00,9.20,7.50,11.50,31.10,21.80,24.20
"134 Clonleigh South, Co. Donegal",24566.00,39278.00,8.50,8.00,9.90,5.50,7.20,39.90,20.90,33.80
"135 Convoy, Co. Donegal",22943.00,28759.00,5.60,5.20,9.90,11.30,8.50,40.00,19.50,24.50
"136 Dooish, Co. Donegal",27001.00,37757.00,4.40,5.90,8.50,5.20,8.90,45.10,22.10,17.70
"137 Feddyglass, Co. Donegal",NA,NA,16.80,6.00,10.80,5.80,10.50,30.60,19.50,17.70
"138 Figart, Co. Donegal",22708.00,33292.00,10.10,7.30,12.70,12.40,7.30,30.70,19.60,19.20
"139 Gleneely, Co. Donegal",24773.00,32622.00,7.80,6.50,7.80,6.50,16.40,36.40,18.70,17.80
"140 Goland, Co. Donegal",29167.00,48444.00,5.30,8.90,7.20,11.90,9.10,43.80,13.70,16.10
"141 Killygordon, Co. Donegal",25697.00,31934.00,12.50,6.60,8.70,5.50,13.30,37.20,16.00,21.20
"142 Knock, Co. Donegal",28976.00,32927.00,3.90,5.90,10.60,8.10,9.70,43.40,18.40,17.40
"143 Lettermore, Co. Donegal",24400.00,36326.00,7.60,4.60,8.30,14.50,14.20,34.00,16.70,16.00
"144 Mín Charraigeach, Co. Donegal",NA,NA,10.80,9.30,11.60,9.30,6.10,28.40,24.40,7.50
"145 Raphoe, Co. Donegal",19095.00,27084.00,10.00,5.10,11.90,10.10,11.10,29.20,22.70,33.40
"146 St. Johnstown, Co. Donegal",21263.00,24773.00,13.10,9.10,12.30,4.40,14.50,29.00,17.50,30.80
"147 Stranorlar, Co. Donegal",24101.00,31676.00,2.90,4.10,8.10,7.90,7.20,45.80,23.90,24.10
"148 Treantaghmucklagh, Co. Donegal",23663.00,29058.00,17.60,6.10,6.80,9.40,8.60,28.60,22.90,18.90
"149 Urney West, Co. Donegal",29272.00,34592.00,13.00,6.40,6.80,6.50,10.30,39.40,17.60,22.90
"001 Carrickmacross Urban, Co. Monaghan",23950.00,35918.00,2.70,6.60,10.20,18.70,15.70,23.50,22.70,19.90
"002 Castleblayney Urban, Co. Monaghan",20849.00,31241.00,4.70,8.20,12.00,6.70,17.40,24.20,26.80,27.50
"003 Clones Urban, Co. Monaghan",19943.00,27976.00,3.50,4.70,9.90,6.00,28.50,29.10,18.30,29.70
"004 Monaghan Urban, Co. Monaghan",21141.00,26813.00,9.00,2.70,14.80,5.30,17.00,22.50,28.60,18.80
"005 Ballymackney, Co. Monaghan",25732.00,41268.00,7.30,10.60,9.70,11.30,13.20,31.40,16.50,9.10
"006 Bocks, Co. Monaghan",29329.00,35536.00,6.00,10.80,11.40,8.90,22.50,22.10,18.20,8.60
"007 Carrickmacross Rural, Co. Monaghan",24799.00,37660.00,2.80,8.90,8.70,14.60,16.60,29.10,19.40,15.00
"008 Corracharra, Co. Monaghan",30405.00,38737.00,8.10,12.60,11.40,6.10,21.20,22.60,18.10,20.20
